open,write,read,close
905.353,118.725,101.273,202.788
967.761,121.615,122.007,210.039
911.12,130.532,102.404,213.355
868.207,120.001,106.94,205.394
951.074,135.559,100.172,213.496
895.22,117.981,103.647,205.203
902.11,118.891,100.182,194.191
912.838,118.88,100.92,202.576
927.183,117.699,100.616,202.889
879.299,120.749,106.051,205.152
886.745,116.93,98.98,202.596
889.391,115.031,98.95,200.242
888.674,117.627,102.758,196.121
1053.72,117.627,99.324,201.808
912.303,120.516,98.838,200.535
891.937,115.496,112.132,204.929
905.504,116.839,101.202,213.455
935.83,123.487,111.537,213.628
930.588,116.507,119.083,200.99
897.069,118.133,102.293,198.161
898.736,125.73,102.131,205.535
931.517,116.567,106.334,204.475
905.716,117.001,103.365,196.818
971.986,118.708,104.374,201.556
905.696,116.749,106.384,211.546
915.839,130.043,97.565,195.201
906.151,116.173,102.142,211.768
901.968,116.426,101.101,205.98
897.028,120.668,103.819,198.828
956.762,121.244,93.414,203.526
926.395,117.86,96.343,202.899
917.99,118.021,101.707,199.616
951.054,119.396,117.638,205.788
903.978,116.092,101.223,204.293
907.393,122.739,98.252,226.063
924.324,117.133,108.496,196.505
972.592,169.36,94.12,207.011
924.899,115.557,100.596,250.743
993.775,129.508,120.396,208.788
940.892,119.355,103.919,200.777
911.05,118.314,102.122,197.222
949.498,147.5,104.435,200.666
886.219,117.921,95.616,198.424
900.261,115.345,101.949,211.496
904.353,117.354,108.404,196.908
905.817,119.89,106.88,200.242
958.913,117.971,101.627,201.868
961.327,116.405,101.869,204.091
989.775,129.68,103.253,199.545
913.485,117.031,101.495,197.969
900.837,117.345,114.83,199.242
907.807,116.506,116.699,196.303
901.322,117.122,102.132,224.265
924.031,125.639,102.162,242.448
938.609,120.011,98.677,203.485
916.768,118.587,102.98,197.494
894.574,122.123,105.233,197.737
895.766,130.709,104.748,201.495
895.12,119.325,114.436,204.536
936.548,120.537,118.012,214.517
910.394,118.082,103.829,248.288
901.009,119.325,110.345,230.448
919.738,117.012,112.708,204.293
932.103,117.668,100.97,195.221
906.333,118.416,103.111,196.919
909.777,120.446,104.697,196.292
928.486,117.931,101.788,210.253
880.724,118.375,102.899,203.354
899.867,117.789,111.557,224.204
954.014,122.669,103.364,198.848
899.756,117.598,101.475,197.616
1025.16,126.033,100.909,203.768
884.421,117.375,103.455,206.151
909.97,118.668,106.364,219.688
900.554,124.729,103.465,203.09
930.972,120.294,101.142,203.899
