open,write,read,close
128.337,5.959,0.9,13.27
133.817,5.3,0.78,11.659
122.927,5.99,0.88,13.07
116.337,5.29,0.78,11.71
111.837,5.31,0.77,11.75
112.367,5.33,0.76,11.85
114.107,5.28,0.78,11.639
113.808,5.18,0.79,11.659
134.277,5.44,0.8,12.07
113.557,5.28,0.77,11.66
116.977,5.48,0.78,11.719
113.968,5.29,0.799,11.74
114.318,5.17,0.78,11.6
113.077,5.18,0.78,11.71
113.867,5.21,0.8,11.81
119.297,5.31,0.78,11.7
162.546,5.97,0.9,13.179
129.657,5.98,0.88,12.79
115.367,5.23,0.75,11.709
111.988,5.12,0.78,11.729
110.978,5.12,0.78,11.879
110.518,5.23,0.79,11.589
126.807,7.58,1.12,16.519
129.048,5.809,0.8,12.57
115.807,5.29,0.79,11.82
113.797,5.48,0.76,11.66
115.957,5.21,0.82,11.68
113.417,5.42,0.77,11.759
113.018,5.27,0.77,11.809
121.427,16.19,0.82,12.25
103.387,5.33,0.79,11.66
114.067,5.21,0.79,11.54
112.077,5.15,0.79,11.88
111.737,5.24,0.78,11.58
112.238,5.23,0.79,11.719
112.348,5.25,0.78,11.639
112.418,5.27,0.81,11.639
146.047,6.09,0.8,12.419
131.227,6.13,0.91,19.149
111.478,5.86,0.88,12.849
158.856,5.26,0.77,12.07
117.677,5.23,0.76,11.74
114.657,5.22,0.76,11.53
113.257,5.53,0.77,11.8
113.457,5.23,0.81,11.569
113.408,5.33,0.76,11.549
113.158,5.16,0.79,11.73
113.188,5.379,0.76,11.65
115.607,5.22,0.78,11.77
112.987,5.18,0.78,11.69
112.597,5.2,0.8,11.52
112.067,5.19,0.82,11.69
112.977,5.37,0.79,11.639
115.518,5.28,0.77,11.489
86.078,5.24,0.78,11.689
138.117,5.54,0.78,12.02
115.087,5.3,0.78,11.639
113.758,5.2,0.75,11.659
113.538,5.299,0.79,11.63
117.777,5.46,0.79,12.13
113.947,5.13,0.77,11.56
112.647,5.27,0.79,11.67
119.747,5.24,0.78,11.679
113.308,5.31,0.79,11.569
112.758,5.239,0.79,11.76
112.737,5.21,0.8,11.56
142.336,8.07,2.25,16.04
124.847,5.56,0.79,12.3
116.207,5.32,0.78,11.729
114.088,5.26,0.83,11.779
114.718,5.199,0.79,11.89
114.967,5.19,0.8,11.67
114.317,5.18,0.8,11.8
123.907,5.4,0.79,11.989
