open_us,write_us,read_us,close_us
455,27,9,41
438,23,9,36
457,27,9,35
445,36,8,35
462,21,9,34
450,27,10,33
428,22,9,33
436,22,9,34
432,21,8,37
452,22,10,41
554,20,8,43
427,24,8,53
438,23,9,34
467,23,9,40
428,26,9,40
446,26,15,37
456,33,10,33
419,24,10,40
399,18,10,26
398,23,9,58
404,18,10,31
429,27,9,37
444,22,9,50
437,21,8,37
443,22,9,35
454,21,8,35
475,21,8,34
467,23,9,52
454,25,10,33
504,23,15,44
448,27,9,40
470,23,9,38
452,21,9,36
455,21,8,34
446,22,9,36
449,22,14,49
461,21,9,52
443,25,9,36
441,22,8,35
466,26,9,47
462,22,8,38
447,22,8,37
466,45,10,38
454,24,10,52
500,23,9,33
475,20,8,48
443,21,12,48
412,26,9,40
762,23,10,38
475,24,9,47
431,26,9,44
495,21,8,49
439,22,14,52
434,23,9,39
456,23,9,39
444,26,11,37
464,21,9,48
438,22,8,36
463,23,9,35
450,22,8,41
480,23,9,39
464,23,9,64
439,21,9,37
454,23,8,36
454,22,9,36
443,25,9,35
416,27,9,35
473,21,8,32
458,21,8,51
474,23,10,43
495,23,10,35
459,25,9,41
449,23,9,38
454,22,8,38
463,23,9,85
424,26,10,45
465,27,9,37
417,21,9,37
473,21,8,36
424,31,9,35
440,22,8,37
430,44,10,44
411,24,8,36
516,22,10,32
470,23,10,50
477,23,9,42
487,22,9,41
458,27,9,46
493,23,10,34
491,22,9,40
459,22,8,48
458,22,9,51
453,25,9,32
507,24,9,34
452,22,9,38
471,22,9,42
447,22,9,37
461,23,9,40
467,22,9,36
460,22,8,54
459,18,7,66
463,21,8,47
457,21,9,38
459,23,10,37
461,22,8,37
451,22,9,35
446,18,10,29
501,23,10,52
415,31,10,34
445,24,9,40
467,22,9,39
461,28,9,37
464,23,9,36
455,22,12,47
461,23,9,36
406,19,9,49
404,16,7,40
431,25,9,40
451,22,9,41
466,28,9,36
455,35,8,36
460,23,9,53
458,22,9,38
455,21,8,47
404,20,7,25
410,32,5,24
476,28,11,30
473,23,14,37
400,23,9,37
389,22,8,49
476,22,9,34
496,23,9,40
461,23,9,51
473,31,9,34
485,26,9,35
431,16,7,29
418,23,18,34
426,22,9,36
512,21,9,51
428,21,8,57
489,23,10,44
455,23,9,64
448,22,9,51
428,26,8,41
480,23,10,48
476,23,9,44
411,21,11,32
408,35,14,39
467,23,9,52
440,27,9,33
503,24,9,34
490,33,9,41
468,22,8,38
469,22,13,44
477,21,9,38
463,21,9,60
390,21,10,27
446,23,10,46
435,25,9,53
413,40,9,34
476,23,9,40
420,22,9,50
439,24,12,43
509,23,9,34
502,22,9,51
470,22,9,37
459,21,8,31
438,23,9,46
402,25,9,46
445,22,10,38
465,22,9,37
575,22,10,46
459,23,9,41
452,22,9,37
455,23,9,46
432,24,9,39
474,22,9,38
476,22,9,49
465,18,8,66
436,21,8,46
449,22,9,51
478,28,9,44
443,24,9,43
451,22,9,37
479,20,8,38
471,21,8,37
462,22,8,36
459,22,9,50
468,22,9,38
452,21,8,35
461,22,8,50
464,20,8,35
451,29,10,41
476,23,8,40
443,22,8,37
448,23,16,45
472,22,9,57
444,22,9,43
461,37,9,43
464,22,8,38
457,21,8,36
450,22,9,36
460,22,9,35
447,22,9,53
460,22,12,40
448,21,8,36
446,22,9,47
500,23,10,33
461,23,9,39
466,21,8,37
461,21,9,36
447,21,9,47
480,23,8,41
495,26,8,43
478,23,13,34
467,23,8,46
480,27,9,44
456,26,9,97
433,23,9,38
463,23,9,54
452,21,9,38
458,21,8,36
447,22,8,40
426,25,8,35
426,23,8,34
732,20,14,130
510,24,11,35
1952,24,18,37
563,22,10,49
526,22,10,37
512,21,11,40
550,24,10,39
516,37,9,50
481,20,8,29
451,26,10,51
553,22,10,50
535,22,9,37
473,37,9,36
578,22,9,34
550,22,9,35
540,22,10,43
411,40,8,28
482,19,6,22
477,27,11,45
554,12,5,33
483,23,9,41
436,24,9,40
445,16,6,25
479,11,5,24
591,14,7,24
496,14,6,25
506,14,6,39
458,24,9,47
537,23,11,40
459,22,9,38
540,22,9,35
