Run,Open,Write,Read,Close
459,96.4,58.6,5.8,76.9
460,86.3,55.7,6.8,78.7
461,105.3,62.3,6.3,120.2
462,134.4,64,7.4,115.2
463,147.4,74.6,60.8,217.7
464,190.8,145.7,10.5,158.8
465,263.7,73.2,7.1,106.6
466,158,61.3,5.7,105.1
467,118,58.6,7.5,91.3
468,103,61.6,5.4,82.3
469,103.5,114.2,7.4,104.1
470,563.4,104.5,10.5,162.7
471,173.9,133,11.8,144.4
472,227.8,126.3,9.2,136.6
473,197.9,59.2,6.5,99.6
474,121.4,48.7,5.4,83.9
475,120.6,46.8,5,78.8
476,158.1,45,4.8,77
477,88.5,108.6,5.9,81.7
478,101.5,67.4,5.1,78.4
479,87.8,47.7,5.1,75.2
480,81.4,114.8,10,112.2
481,192,67.5,5.8,92.2
482,161.2,81.4,6.8,104.8
483,159.7,59.6,5.3,85.5
484,101.8,63.3,5.5,135.9
485,128.7,53.3,5.7,93.7
486,102.1,61.2,7,84.7
487,102.9,57.9,6.9,103
488,94.2,60.2,6.8,80.1
489,137.2,77.7,6.2,94.1
490,124.7,58.2,5.3,82.4
491,170.3,67.1,5.3,82.8
492,98.4,59.1,6.8,82.1
493,90.6,58.8,6.9,80.5
494,109.6,58,6.8,78.7
495,175.2,69.7,5.9,92.4
496,121.8,64.1,5.5,88.3
497,106.3,58.5,5.3,104
498,104,75.6,5.9,81.5
499,102.4,60.4,5.3,85.2
500,153.2,68.1,5.7,91
501,127.4,61.6,5.3,82.5
502,109.4,60,8.1,80
503,102.7,58.8,7.1,83.1
504,88.3,56.7,7,86
505,87.4,56.2,6.9,81.9
506,160.5,49.5,5,79.9
507,107.7,59.3,8.6,127.7
508,139.9,190.8,15.6,169.8
509,203,63.7,6.4,101.5
510,111.9,125.5,9.8,126.1
511,181.8,64.8,5.8,90.2
512,132.6,60,5.6,83.3
513,108.3,59.9,7,83.1
514,97.2,59.1,7.1,79.5
515,180.2,97.2,8.6,121.8
516,165.6,55.8,6,93.6
517,154.3,73.8,6.4,105
518,158.4,57.3,7.8,108.4
519,368.5,174.1,15.5,203.5
520,223.8,88.6,9.3,138
521,294.8,101,8.9,161
522,166.3,69.7,8.5,104.3
523,168.2,65.6,6.2,90.5
524,109.2,63.8,5.6,82.1
525,102.5,57.4,7.3,83
526,110.1,59.5,7.1,81
527,144.8,89.7,6.7,108.4
528,148.6,67.4,9.4,94.7
529,164.9,68.9,6.1,90.9
530,117.6,58.4,5.3,161.1
531,130.3,55.2,5.4,82.4
