Run,Open,Write,Read,Close
268,162.400,82.600,8.000,110.900
269,154.300,73.000,7.300,112.400
270,137.800,236.100,27.600,439.600
271,457.500,162.800,19.000,324.200
272,275.700,175.100,18.300,217.400
273,228.100,139.200,17.300,237.800
274,224.400,201.100,14.400,274.100
275,242.500,110.800,11.600,154.700
276,224.200,143.000,12.200,165.900
277,198.800,89.500,9.400,259.800
278,208.300,114.600,11.900,144.100
279,250.700,108.000,11.900,211.200
280,286.600,103.100,10.700,289.500
281,200.700,93.900,10.300,125.700
282,149.900,221.500,10.900,176.300
283,183.500,182.700,11.500,273.500
284,228.100,113.300,13.200,293.400
285,293.100,192.400,44.900,226.300
286,266.400,139.100,16.600,379.200
287,255.400,533.500,32.300,271.400
288,664.000,185.400,19.200,225.700
289,341.800,154.900,13.700,150.000
290,166.700,69.700,8.700,124.200
291,141.100,73.400,7.900,117.800
292,139.500,87.300,8.800,162.900
293,134.100,74.700,7.300,732.400
294,325.700,159.800,20.200,221.900
295,239.100,135.300,17.000,204.500
296,220.000,138.800,16.100,274.200
297,303.800,168.700,19.300,226.600
298,237.600,130.300,16.500,256.900
299,332.300,94.600,9.500,133.800
300,196.900,120.900,9.900,131.100
301,238.000,80.400,9.700,121.700
302,193.000,228.000,13.400,262.200
303,243.700,112.200,12.100,157.800
304,206.800,93.800,9.600,117.700
305,145.100,61.200,7.700,201.900
306,148.900,235.300,27.100,292.400
307,267.700,142.900,16.000,292.600
308,219.600,109.400,11.400,260.100
309,275.400,179.200,21.600,207.400
310,259.300,135.700,17.400,343.600
311,243.400,138.900,15.900,202.700
312,201.600,264.100,18.400,208.500
313,217.200,122.000,16.200,202.000
314,318.300,148.700,12.900,168.200
315,197.100,83.200,9.800,126.900
316,143.500,72.600,7.400,126.800
317,139.500,154.500,8.300,191.900
318,136.400,72.500,7.700,191.800
319,211.900,74.900,7.600,151.200
320,136.900,70.700,8.200,254.100
321,143.700,83.900,9.500,192.900
322,289.000,339.000,52.300,350.100
323,260.400,148.200,16.600,187.500
324,209.900,117.300,14.700,178.500
325,278.100,128.200,15.500,188.600
326,200.700,117.900,13.700,155.000
327,186.700,118.900,14.000,160.600
328,206.100,160.000,19.300,437.500
329,315.200,150.400,19.200,325.600
330,222.700,110.800,13.200,245.300
331,201.200,102.900,12.200,214.400
332,185.200,88.900,9.400,217.200
333,282.100,198.200,19.000,235.600
334,276.900,138.900,18.000,218.000
335,264.200,189.500,19.400,223.600
336,388.900,196.900,21.200,243.700
337,260.900,133.900,16.700,299.100
338,312.000,157.800,18.000,214.000
339,223.500,124.000,15.100,190.800
340,298.900,446.400,23.700,370.800
341,265.200,133.800,15.900,196.400
342,194.200,133.200,14.300,362.700
343,289.000,144.000,18.400,215.300
344,244.200,128.800,16.700,260.300
345,206.300,142.400,17.100,228.900
346,221.200,134.600,17.700,207.300
347,232.000,130.300,16.700,250.400
348,292.400,141.400,12.900,162.600
349,201.700,90.700,9.900,131.500
350,180.000,146.400,11.000,137.800
351,156.800,76.900,8.700,189.200
352,169.800,79.500,8.800,119.800
353,178.800,81.600,38.000,302.800
354,198.100,222.000,13.200,318.900
355,276.500,152.200,19.900,321.100
356,244.700,161.000,18.000,278.200
357,294.500,165.600,18.300,214.200
358,234.300,134.300,17.400,213.800
359,331.400,138.300,17.100,196.500
360,284.000,149.100,18.800,401.100
361,263.800,141.200,19.400,229.400
362,301.100,165.000,19.400,226.200
363,306.500,148.200,16.900,294.800
364,278.200,165.500,19.800,241.600
365,241.400,136.500,18.000,212.000
366,265.600,326.500,69.700,364.800
367,248.700,164.700,16.500,187.900
368,405.100,313.600,71.200,428.800
369,302.000,154.500,18.200,205.200
370,252.700,138.300,17.300,279.100
371,393.200,157.300,18.600,205.200
372,506.400,177.100,20.100,435.400
373,372.700,196.700,74.600,300.600
374,572.900,259.700,21.400,448.600
375,311.600,124.000,17.700,270.300
376,244.800,145.700,17.800,198.800
377,194.500,118.100,14.400,170.400
378,179.400,113.700,14.300,352.500
379,498.500,152.500,15.800,256.200
380,326.000,149.600,17.300,284.700
381,327.600,208.700,17.900,225.000
382,227.500,124.100,55.700,525.300
383,471.700,135.300,14.600,189.900
384,225.800,118.800,14.800,179.300
385,180.300,110.200,14.400,161.000
386,274.900,148.400,73.000,232.900
387,270.600,146.100,16.700,199.700
388,227.700,121.900,14.600,338.000
389,232.300,233.000,113.800,345.600
390,323.100,133.900,15.500,312.600
391,342.300,225.900,14.700,193.800
392,204.100,107.400,13.400,331.600
393,258.400,154.800,14.900,176.900
394,201.000,120.200,16.000,195.400
395,312.000,126.500,15.600,185.500
396,197.600,114.000,14.400,182.300
397,233.200,121.700,13.500,367.800
398,226.800,125.600,16.200,200.300
399,213.000,200.500,17.900,158.300
400,197.900,186.600,16.300,342.100
401,358.600,189.400,21.700,243.900
402,283.300,224.400,13.100,166.000
403,192.300,101.400,12.400,156.800
404,372.700,263.200,21.300,236.900
405,313.000,258.500,22.900,271.800
406,329.200,210.000,27.500,298.600
407,505.300,281.700,31.500,279.800
408,247.700,197.900,15.800,285.100
409,214.800,135.700,15.000,173.500
410,189.000,110.600,13.200,240.100
411,204.500,112.700,14.700,234.300
412,204.600,125.600,15.100,179.100
413,236.100,129.500,15.400,201.900
414,206.400,117.400,14.900,227.200
415,201.300,115.600,13.500,170.000
416,178.700,128.100,15.000,311.900
417,252.300,143.700,18.200,185.300
418,231.300,130.000,14.200,323.000
419,223.400,292.300,20.200,200.200
420,204.100,95.800,10.800,263.900
421,364.000,113.200,11.000,149.400
422,190.700,71.400,7.100,97.100
423,365.600,177.100,18.800,206.100
424,243.000,128.100,17.100,291.200
425,285.000,173.900,21.300,219.200
426,229.700,126.200,17.800,278.900
427,429.400,254.300,19.800,332.900
428,500.700,199.400,45.100,266.500
429,222.200,115.000,13.300,343.500
430,267.500,152.700,18.000,222.400
431,251.200,156.500,17.300,346.000
432,245.300,160.500,17.200,317.500
433,434.100,203.500,20.800,227.900
434,341.100,193.300,21.200,349.700
435,403.300,181.800,17.900,406.200
436,188.900,91.500,9.700,108.000
437,104.300,49.000,5.100,98.100
438,144.900,63.000,7.100,105.200
439,143.200,118.400,18.400,271.000
440,155.700,242.200,12.500,174.200
441,145.300,56.900,5.800,116.400
442,299.500,160.500,17.800,239.300
443,333.200,237.300,26.200,337.800
444,271.600,246.600,29.500,274.400
445,256.900,141.000,18.200,333.000
446,259.100,137.500,17.800,209.200
447,373.900,201.600,79.900,237.300
448,259.700,154.700,15.900,192.800
449,224.900,123.500,14.600,177.300
450,429.300,330.400,33.600,318.900
451,506.500,270.500,69.500,441.500
452,600.100,192.400,19.400,195.000
453,215.300,154.300,70.000,278.300
454,257.300,131.100,16.100,206.900
455,206.600,147.200,16.300,203.100
456,261.600,206.400,24.100,265.000
457,257.100,142.400,17.100,377.600
458,344.800,204.700,22.900,465.600
459,509.400,171.800,17.800,236.100
460,226.600,125.700,14.900,185.100
461,205.600,141.600,15.600,346.600
462,239.700,231.100,17.300,315.400
463,275.000,182.000,20.400,217.600
464,232.100,176.800,18.600,216.000
465,220.300,127.600,18.200,186.300
466,308.500,150.000,73.200,507.200
467,286.800,133.700,15.900,428.300
468,257.900,276.100,23.900,258.500
469,281.100,129.800,15.800,212.100
470,281.300,124.800,15.000,273.600
471,248.400,137.400,16.800,201.900
472,286.100,160.700,18.800,207.900
473,208.700,122.600,15.100,199.400
474,306.500,206.100,13.800,289.700
475,291.100,191.900,19.600,214.700
476,234.600,130.800,18.800,285.700
477,252.000,173.500,22.300,218.400
478,245.700,130.500,17.000,371.900
